WY,797000000.00
CINF,793000000.00
CERN,792913984.00
HZNP,792008000.00
LNC,788000000.00
TER,784147008.00
BEN,783600000.00
MSI,780000000.00
BDX,767000000.00
BDXB,767000000.00
MAS,765000000.00
JEF,764809984.00
CMS,764000000.00
KMX,751907968.00
TJX,749737024.00
TSCO,748958016.00
MKC,747400000.00
AMCR,743500032.00
CDW,735800000.00
CPB,732000000.00
FLT,729875008.00
KL,724267008.00
YUMC,723000000.00
MXIM,721947008.00
A,719000000.00
HBAN,717000000.00
HBANN,717000000.00
HBANO,717000000.00
GL,714593984.00
ANET,712182016.00
WU,702600000.00
VICI,702294976.00
RMD,698857984.00
NTAP,687000000.00
EURN,685604992.00
DOV,683451008.00
CPRT,682012032.00
QRTEA,679000000.00
QRTEB,679000000.00
QRTEP,679000000.00
XBIT,677112000.00
VRSK,668700032.00
MLM,668499968.00
SBUX,664800000.00
SNPS,664347008.00
AWK,662000000.00
LNT,661200000.00
RE,659937024.00
AVB,652585984.00
FAF,640136000.00
AEM,638084992.00
AGR,638000000.00
ILMN,638000000.00
EXPD,634846016.00
PNW,633931008.00
BTG,633304000.00
OMF,632000000.00
EVRG,631200000.00
GWW,630000000.00
KEYS,627000000.00
ODFL,626873984.00
BIG,624969024.00
OKE,623931008.00
XLNX,620883008.00
AU,617000000.00
KSU,616800000.00
VMC,614675968.00
FE,613000000.00
LDOS,612000000.00
EL,612000000.00
MCHP,608200000.00
ESS,601942976.00
MSCI,601822016.00
ATO,600998976.00
LKQ,598505984.00
REGI,596348032.00
HII,596000000.00
CTVA,594000000.00
HSIC,591496000.00
SNA,588700032.00
TAP,584499968.00
MTD,579193024.00
CNA,576000000.00
WOR,574116992.00
COOP,574000000.00
SSNC,569699968.00
FMC,567699968.00
IPG,567699968.00
HWM,565000000.00
AKAM,562784000.00
NXST,560406016.00
QSR,560000000.00
BERY,559000000.00
ORI,558600000.00
LULU,557097024.00
AL,554732032.00
BAH,546617024.00
FBC,538000000.00
WSM,537804032.00
SC,535512000.00
DLR,534742016.00
TSLA,533000000.00
MHK,532040992.00
UGI,532000000.00
FRO,530881984.00
PB,528904000.00
AVY,526900000.00
IVZ,524800000.00
ARE,524758016.00
SNX,523276000.00
RGA,518000000.00
BLL,518000000.00
CCK,515000000.00
FTV,508200000.00
UHAL,507391008.00
WAL,506600000.00
CHRW,506420992.00
ZION,505000000.00
ZIONN,505000000.00
ZIONO,505000000.00
ZIONP,505000000.00
BPOP,504864000.00
GPN,504647008.00
VIRT,504430016.00
WAT,503928992.00
BG,503000000.00
MTCH,499326016.00
DOX,497840000.00
IDXX,497481984.00
DAR,494683008.00
IP,494000000.00
FBHS,493600000.00
TRMB,488900000.00
LPLA,487768000.00
EAF,484200000.00
NYCB,478280992.00
EMN,478000000.00
NCR,477000000.00
AAP,476931008.00
TTWO,474190016.00
ZBRA,474000000.00
SGEN,472404992.00
BR,472400000.00
MTG,471772992.00
PRTC,471595008.00
SEE,470700000.00
DPZ,468726016.00
UTHR,468600000.00
CNO,468000000.00
TDG,467000000.00
CBOE,466000000.00
GNW,466000000.00
SCI,462016000.00
EQC,460961984.00
WAB,460700000.00
ARW,460380000.00
CMA,459000000.00
MGA,459000000.00
ABB,457000000.00
FTNT,454800000.00
NGHCO,450983008.00
NGHCP,450983008.00
MKL,450795008.00
WPC,450126016.00
GLPI,450099008.00
MPW,448864000.00
TOL,446624000.00
QRVO,445584992.00
PAG,444700000.00
EQIX,443777984.00
AQN,441980000.00
EFX,441900000.00
HBI,441571008.00
UI,438660000.00
EXR,437320000.00
KMPR,436500000.00
ESNT,436396992.00
ADSK,428700000.00
WPM,428105984.00
RPM,426115008.00
JLL,426100000.00
ZM,425452000.00
STE,422294016.00
FLEX,421579008.00
CACC,416600000.00
PKI,412212992.00
AIZ,411500000.00
AIZP,411500000.00
HTH,409440000.00
O,406852000.00
RDN,406796992.00
RS,405100000.00
PWR,393688992.00
STWD,392073984.00
SNN,391000000.00
AN,388000000.00
SMG,385700000.00
HAS,384691008.00
ANSS,384107008.00
ALB,381520000.00
DKS,380456000.00
FDS,380187008.00
EDU,379460000.00
IFF,379456000.00
WB,379390016.00
PRI,377995008.00
CACI,374430016.00
IEX,373560000.00
MDU,373199008.00
MUSA,372700000.00
PDM,372556992.00
HUBB,370900000.00
QDEL,370783008.00
BJ,367476000.00
TFX,367006016.00
BWA,362000000.00
CIEN,361291008.00
TRQ,359471008.00
LII,358700000.00
PNR,357100000.00
EIX,356000000.00
HLF,355500000.00
J,353760992.00
LAD,350700000.00
AGO,350000000.00
ALSN,346000000.00
TKR,344900000.00
CUZ,343271008.00
VEEV,343262016.00
CSL,342600000.00
CBSH,342091008.00
INGR,342000000.00
REYN,341000000.00
VTR,340140992.00
IPLDP,335100000.00
DHT,334504000.00
FL,334000000.00
BPMC,333219008.00
KEN,331988000.00
VNT,331400000.00
TTC,329700992.00
CASY,328624992.00
POOL,325588992.00
TRU,324300000.00
HIW,322656992.00
ICLR,321776992.00
TGNA,321343008.00
OSK,318300000.00
DLB,317808000.00
MAA,317075008.00
VVV,317000000.00
EPAM,316144992.00
G,315492000.00
HEI,313984000.00
FHI,313564000.00
WST,311700000.00
DECK,311264000.00
MDC,310737984.00
MTZ,310641984.00
AMKR,310611008.00
SQ,310086016.00
OI,310000000.00
DEI,309433984.00
PEAK,308217984.00
THG,306300000.00
PNFP,304724992.00
PNFPP,304724992.00
ROST,303535008.00
BDN,302897984.00
ALLE,301700000.00
CRL,301460992.00
MKTX,299376992.00
JKHY,298513984.00
AZPN,298219008.00
TNET,298000000.00
FFIV,296592000.00
LW,296000000.00
ADS,295000000.00
KBH,294716992.00
GNRC,293969984.00
ERIE,290105984.00
UBSI,289023008.00
ASB,288412992.00
WLK,288000000.00
THO,285665984.00
TPH,285086016.00
CF,285000000.00
LAZ,284520992.00
EHC,284200000.00
VHC,283393984.00
CSGP,279265984.00
WTM,278200000.00
VAR,277500000.00
CDK,276000000.00
TRMD,274721984.00
BWXT,274376992.00
HLI,272419008.00
CHE,271294016.00
FICO,267982000.00
GBCI,266400000.00
VTRS,266400000.00
AB,266206000.00
ENTG,265783008.00
MIDD,264454000.00
SON,264004000.00
OTEX,263200000.00
FNV,262800000.00
ABCB,261988000.00
CMC,259458000.00
JNPR,257800000.00
VER,257442000.00
SFNC,254606000.00
ATGE,254000992.00
DCI,253900000.00
NEU,253367008.00
LGIH,252336992.00
CABO,251766000.00
AFG,251000000.00
AYI,250900000.00
SFM,250687008.00
TRTN,250392992.00
CTLT,249800000.00
TPX,249600000.00
NDSN,249539008.00
TX,248516000.00
TECH,248059008.00
LOPE,247110000.00
IDA,247046000.00
GFI,246600000.00
WTRG,246368992.00
MTOR,244000000.00
USM,242000000.00
WWD,240395008.00
MCY,239552000.00
WSO,238583008.00
COO,238400000.00
CMG,237223008.00
LAMR,237068000.00
CW,236807008.00
CLGX,236444992.00
RGLD,235828992.00
EVR,235380992.00
ASO,234980000.00
ETSY,231999008.00
LEG,231200000.00
DXCM,231100000.00
WMB,231000000.00
BKI,229900000.00
OSB,229000000.00
HELE,228619008.00
OLLI,228323008.00
GTN,228000000.00
