191,ABCB,NMS,Ameris Bancorp,40.670,0.000,0.000,36.600,40.670,796257,40.670,41.290,17.120,45.180,40.677,30.379,431619,456800,NULL,65575542,2146581,1607990400
192,ABCL,NMS,AbCellera Biologics Inc.,52.100,0.000,0.000,50.330,55.220,1070405,52.100,51.500,36.270,71.910,44.859,45.285,1430578,776114,NULL,78954823,4944772,1607990400
193,ABCM,NMS,Abcam plc,22.920,0.000,0.000,22.650,23.350,101256,22.920,23.160,17.710,24.690,21.495,20.229,183173,134785,NULL,185572223,240320,1607990400
194,ABEO,NCM,Abeona Therapeutics Inc.,1.950,0.000,0.000,1.890,2.000,2430575,1.950,1.990,0.990,4.340,1.804,1.867,2452732,3251014,NULL,77916709,1698645,1607990400
195,ABEQ,PCX,Absolute Core Strategy ETF,25.920,0.000,0.000,25.240,25.350,11285,25.920,25.620,18.009,26.080,25.615,24.235,7154,7471,NULL,NULL,NULL,NULL
196,ABEV,NYQ,Ambev S.A.,2.860,0.000,0.000,2.775,2.870,26235763,2.860,2.900,1.900,4.270,3.025,2.648,24618718,27397283,NULL,4394661796,80998643,1607990400
197,ABG,NYQ,"Asbury Automotive Group, Inc.",148.340,0.000,0.000,141.120,149.390,175805,148.340,146.860,39.360,172.320,151.528,120.582,215000,327966,NULL,16986518,2064053,1607990400
198,ABIO,NCM,"ARCA biopharma, Inc.",4.240,0.000,0.000,4.160,4.430,480661,4.240,4.180,2.210,22.000,4.297,4.820,505065,665742,NULL,9284371,81198,1607990400
199,ABM,NYQ,ABM Industries Incorporated,38.460,0.000,0.000,36.530,38.460,885782,38.460,38.450,19.790,42.950,39.513,37.835,346934,457916,NULL,61043460,911836,1607990400
200,ABMD,NMS,"Abiomed, Inc.",348.400,0.000,0.000,337.930,354.685,423266,348.400,355.130,119.010,387.400,319.107,290.557,304649,472142,NULL,44232368,2213740,1607990400
201,ABNB,NMS,"Airbnb, Inc.",190.710,0.000,0.000,179.310,193.450,4529815,190.710,187.370,121.500,216.000,160.334,159.254,10997485,8755414,NULL,41751829,9184860,1607990400
